abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
AL,Alabama,N/A,69,307,33,1106,468,0,0,0,5369,7074,305,0,623,58,0,91,209,681,0,137,108,511,18,2124,124,0,40,226,0,119,94,389,758,0,352,77,0,0,0,320,0,2891,1850,0,0,631,189,0,0,0,27351,27566
AK,Alaska,67,N/A,734,89,1346,424,10,73,0,497,511,343,221,160,17,0,112,182,82,0,154,29,79,82,68,62,136,99,316,0,32,213,131,336,63,106,156,532,27,0,150,28,104,1341,243,0,163,1693,0,0,0,11211,12973
AZ,Arizona,304,960,N/A,388,46015,6926,1076,201,182,4011,1515,1173,1103,8033,2090,1307,1428,479,511,256,1294,2083,3507,2840,284,1723,555,1076,6023,508,2474,7970,4489,1571,309,3265,1085,3891,2373,224,473,430,843,9570,4784,115,1849,7463,15,2245,478,153767,92482
AR,Arkansas,56,89,349,N/A,1741,155,0,0,0,277,159,46,0,703,0,159,379,50,606,0,32,24,125,212,382,2278,0,37,118,0,0,21,39,113,0,0,3110,0,0,0,0,36,1791,4924,0,0,71,50,0,69,0,18201,15530
CA,California,788,1282,21324,698,N/A,11546,2989,306,1271,13026,4807,7843,1513,12846,2348,668,1832,930,1730,318,5060,8281,5516,3461,615,3038,535,1005,19187,742,6775,2526,14695,4683,182,5159,1980,10794,5027,718,1126,133,2085,23191,6918,186,8288,19842,44,1998,260,252115,349696
CO,Colorado,272,553,5376,110,13375,N/A,426,86,163,3418,1311,921,343,2681,458,510,1438,395,169,60,917,1052,907,1070,107,1127,453,1212,1658,114,366,2740,1718,942,279,1083,1238,940,591,71,196,330,473,7948,2087,13,1463,2236,0,666,1506,67568,66504
CT,Connecticut,0,0,534,0,2497,219,N/A,142,185,3317,697,287,0,1002,80,0,65,40,15,475,789,7227,591,126,0,144,0,0,140,656,2973,21,17151,610,0,333,53,62,1180,2276,425,0,84,1210,122,214,899,400,0,77,0,47318,51970
DE,Delaware,0,0,104,0,437,79,189,N/A,104,446,102,0,0,176,19,0,0,0,0,28,4918,194,64,38,31,31,0,0,28,24,3222,0,1728,162,0,115,0,0,6658,23,45,0,52,268,0,0,602,38,0,0,0,19925,10172
DC,DC,50,29,134,29,1446,214,303,78,N/A,692,392,91,19,515,94,34,40,44,84,48,11291,892,232,143,16,128,14,25,39,39,553,41,1587,464,0,321,34,108,718,58,149,0,129,588,37,27,5264,219,14,95,0,27561,34011
FL,Florida,6009,640,4028,441,19752,4575,12384,1271,878,N/A,20469,1854,84,16131,5343,370,1337,2326,2351,1844,10858,21681,10296,2585,1449,3054,32,672,2878,3991,30740,812,66116,10654,45,14274,1451,576,16588,3923,5026,38,5433,15604,835,382,13410,2937,301,2297,58,351083,164442
GA,Georgia,7972,540,1463,187,7604,1342,1498,256,324,19716,N/A,1181,0,3752,934,108,679,895,1432,0,2261,2068,2179,544,770,995,19,181,432,106,3456,132,10053,5882,30,2467,538,193,1764,156,6378,0,6963,7002,209,13,3189,1280,0,534,20,109697,83347
HI,Hawaii,257,320,1016,70,9335,827,425,23,84,1699,952,N/A,41,523,63,15,299,265,230,149,764,277,173,183,74,263,0,71,1083,53,333,172,793,901,0,266,199,803,218,117,486,0,247,1843,504,0,1839,2424,0,65,0,30744,32437
ID,Idaho,0,298,1041,0,5584,549,0,0,0,80,0,97,N/A,62,0,0,0,0,0,0,0,0,0,30,26,0,600,29,1021,0,0,63,17,16,0,25,0,2224,0,0,0,0,0,443,3358,0,33,5361,0,29,208,21194,14484
